,Car_Title,Car_Price,Car_Year,Car_Type_Door,Car_Mileage,Car_engine_size,Car_Horse_PW,Car_Type_Vehicle,Car_Filling_in
4971, Mercedes-Benz B Class 1.5 B180 CDI Sport 7G-DCT 5dr     ,"£10,495",2014,Hatchback,"36,000",1.5L,109BHP,Automatic,Diesel
4972, Audi A3 1.6 TDI ultra SE Technik Sportback 5dr     ,"£10,495",2016,Hatchback,"67,000",1.6L,108BHP,Manual,Diesel
4973, Mercedes-Benz A Class 1.5 A180 CDI SE 5dr (E6)     ,"£10,495",2015,Hatchback,"53,000",1.5L,109BHP,Manual,Diesel
4974, Audi A4 2.0 TDI ultra SE S Tronic (s/s) 4dr     ,"£10,995",2016,Saloon,"88,000",2.0L,150PS,Automatic,Diesel
4975, Mercedes-Benz SLK 1.8 SLK200 BlueEFFICIENCY AMG Sport Edition …     ,"£10,995",2011,Convertible,"31,000",1.8L,184BHP,Manual,Petrol
4976, Mercedes-Benz A Class 2.1 A200 CDI AMG Sport 5dr     ,"£10,995",2014,Hatchback,"96,000",2.1L,134BHP,Manual,Diesel
4980, Fiat 500 1.2 69hp Pop 3dr     ,"
RRP
£12,810
",,,,,,,
4981, Fiat 500 0.9 TwinAir Star 3dr     ,"£11,995",2020,Hatchback,2,0.9L,86PS,Manual,Petrol
4982, Fiat 500 1.0 70hp Mild Hybrid Pop 3dr     ,"
RRP
£12,770
",,,,,,,
4983, Mazda 3 2.0 Sport Nav 5dr     ,"£12,100",2017,Hatchback,"30,975",2.0L,121PS,Manual,Petrol
4984, Ford Focus 1.5 TDCi 120 ST-Line 5dr     ,"£12,250",2017,Hatchback,"14,554",1.5L,120PS,Manual,Diesel
4985, Fiat 500L 1.4 S Design 5dr     ,"£12,500",2019,MPV,"2,120",1.4L,96PS,Manual,Petrol
4986, Fiat 500 1.0 70hp Mild Hybrid Pop 3dr     ,"
RRP
£13,120
",,,,,,,
4988, Mazda MX-5 1.5 Arctic 2dr     ,"£12,990",2017,Convertible,"27,000",1.5L,131PS,Manual,Petrol
4989, Fiat 500 1.2 69hp Lounge 3dr     ,"
RRP
£14,519
",,,,,,,
4993, SKODA Yeti Outdoor Se Drive Tsi 1.2 5dr     ,"£14,899",2017,SUV,"5,340",1.2L,110PS,Automatic,Petrol
4994, Ford Ranger LIMITED 4X4 D-CAB TDCI 2.2     ,"£14,995",2014,Pickup,"35,979",2.2L,110KILOWATT,Automatic,Diesel
4995, KIA Sportage 1.6 GDi 2 5dr     ,"£14,999",2018,SUV,"11,698",1.6L,132PS,Manual,Petrol
4996, KIA Sportage 1.6 GDi 2 5dr     ,"£14,999",2018,SUV,"19,860",1.6L,132PS,Manual,Petrol
4997, Mazda CX-3 Gt Sport 2.0 5dr     ,"£15,450",2017,SUV,"7,000",2.0L,121PS,Manual,Petrol
4998, Audi A6 Se Executive Tdi Ultra 2.0 5dr     ,"£15,999",2016,Estate,"33,326",2.0L,190PS,Manual,Diesel
4999, KIA Sportage 1.7 CRDi 3 5dr     ,"£16,299",2018,SUV,"14,812",1.7L,116PS,Manual,Diesel
5000, KIA Sportage 1.7 CRDi 2 5dr     ,"£16,399",2018,SUV,"12,361",1.7L,141PS,Automatic,Diesel
5001, KIA Stonic 1.0 T-GDi 3 5dr     ,"£16,499",2020,SUV,750,1.0L,120PS,Manual,Petrol
5002, KIA Proceed 1.4 T-GDi GT-LINE 5dr     ,"£16,499",,,,,,,
5006, Ford S-Max 2.0 TDCi Titanium (s/s) 5dr     ,"£14,915",2016,MPV,"31,604",2.0L,150PS,Manual,Diesel
5007, Nissan Qashqai 1.6 dCi Tekna 4WD 5dr     ,"£14,916",2017,SUV,"14,775",1.6L,128BHP,Manual,Diesel
5008, Volkswagen Golf 1.4 TSI BlueMotion Tech GTE Nav DSG (s/s) 5dr     ,"£14,924",2015,Hatchback,"52,162",1.4L,148BHP,Automatic,Hybrid
5009, Renault Clio 1.6 TCe Renaultsport Nav Trophy EDC (s/s) 5dr     ,"£14,991",2017,Hatchback,"14,890",1.6L,220PS,Automatic,Petrol
5010, Vauxhall Crossland X 1.5 Turbo D [102] Elite 5dr [Start Stop] …     ,"£15,000",2019,SUV,"5,850",1.5L,102PS,Manual,Diesel
5011, BMW 3 Series 2.0 330e 7.6kWh SE Auto (s/s) 4dr     ,"£15,050",2017,Saloon,"48,210",2.0L,252PS,Automatic,Hybrid
5012, Mercedes-Benz A Class 1.5 A180d AMG Line (Executive) 7G-DCT …     ,"£15,096",2017,Hatchback,"44,722",1.5L,109PS,Automatic,Diesel
5013, Mercedes-Benz Cla Class 2.1 CLA200 CDI AMG Sport (s/s) 4dr     ,"£15,111",2015,Coupe,"57,039",2.1L,136BHP,Manual,Diesel
5014, Mercedes-Benz C Class 2.0 C350e 6.4kWh Sport G-Tronic+ (s/s) 5dr     ,"£15,127",2016,Estate,"65,908",2.0L,293PS,Automatic,Hybrid
5015, Hyundai i800 2.5 CRDi SE 5dr     ,"£15,192",2018,MPV,"35,179",2.5L,136PS,Manual,Diesel
5019, SKODA Superb 1.4 TSI iV 13kWh SE L DSG (s/s) 5dr     ,"
RRP
£35,350
",,,,,,,
5020, SKODA Superb 1.4 TSI iV 13kWh SE L DSG (s/s) 5dr     ,"£30,450",2020,Estate,"3,289",1.4L,218PS,Automatic,Hybrid
5021, SKODA Karoq Edition 2.0 TDI SCR 150 PS 6G Man 5dr     ,"£30,510",,,,,,,
5022, SKODA Kodiaq 2.0TDI 150ps 4X4 Scout 7 seats SCR SUV 5dr     ,"£30,850",2020,SUV,"1,500",2.0L,150PS,Manual,Diesel
5023, SKODA Kodiaq 2.0 TDI Scout 4WD (s/s) 5dr (7 Seat)     ,"
RRP
£37,191
",,,,,,,
5024, SKODA Superb Hatch SE L 2.0 TDI 190 PS DSG 5dr     ,"£31,605",,,,,,,
5025, SKODA Kodiaq 2.0 BiTDI (239ps) 4X4 vRS (7 seats) DSG SUV 5dr     ,"£31,750",2019,SUV,"15,979",2.0L,239PS,Automatic,Diesel
5026, SKODA Superb Hatch SE L 1.4 TSI iV 218PS DSG 5dr     ,"£35,375",,,,,,,
5027, Renault Modus 1.2 16v Expression 5dr     ,"£2,350",2008,Hatchback,"54,068",1.2L,75BHP,Manual,Petrol
5028, Hyundai Coupe 2.0 SE 3dr     ,"£2,450",2005,Coupe,"72,108",2.0L,141BHP,Manual,Petrol
5032, KIA Sportage 1.7 CRDi 2 2WD 5dr     ,"£6,990",2013,SUV,"77,500",1.7L,113BHP,Manual,Diesel
5033, Ford Fiesta 1.25 Zetec Climate 5dr     ,"£1,495",2008,Hatchback,"105,000",1.25L,74BHP,Manual,Petrol
5034, Audi A6 Saloon 2.0 TDI SE 4dr     ,"£7,500",2013,Saloon,"96,200",2.0L,175BHP,Manual,Diesel
5035, Vauxhall Zafira Tourer 2.0 CDTi 16v SE 5dr     ,"£5,500",2014,MPV,"67,000",2.0L,128BHP,Manual,Diesel
5036, Toyota Yaris 1.3 VVT-i 16v GLS 3dr     ,"£1,000",2001,Hatchback,"89,000",1.3L,85BHP,Automatic,Petrol
5037, Volkswagen Golf 1.6 SE 2dr     ,"£1,160",1998,Convertible,"152,000",1.6L,100BHP,Manual,Petrol
5038, Renault Captur 0.9 TCe Expression + Convenience Pack (s/s) 5dr     ,"£6,215",2013,SUV,"30,000",0.9L,90BHP,Manual,Petrol
5039, Audi A4 Avant 1.4 TFSI Sport Avant (s/s) 5dr     ,"£13,250",2016,Estate,"26,889",1.4L,150PS,Manual,Petrol
5040, Peugeot 206 1.4 Look 5dr     ,£150,CAT,Icon,2008,reg),Hatchback,"102,000",miles
5041, Chrysler 300C 3.0 CRD V6 LUX 4dr     ,"£3,199",2009,Saloon,"136,000",3.0L,218BHP,Automatic,Diesel
5045, Audi Q3 AVANT 35 TDI Quattro S Line 5dr 2.0     ,"£28,000",2019,SUV,"3,628",2.0L,150PS,Manual,Diesel
5046, Audi Q3 AVANT 35 TDI S Line 5dr S Tronic 2.0     ,"£28,000",2019,SUV,"5,139",2.0L,150PS,Automatic,Diesel
5047, Mercedes-Benz B Class Hatchback B220 4MATIC AMG Line Premium …     ,"£28,010",2019,MPV,"5,252",2.0L,190PS,Automatic,Petrol
5048, Mercedes-Benz Cla Class Diesel Shooting Brake CLA 200d AMG …     ,"£28,280",2019,Estate,"8,373",2.1L,150PS,Automatic,Diesel
5049, SEAT Tarraco TDI Xcellence Lux 5dr 2.0     ,"£28,450",2019,SUV,1,2.0L,150PS,Manual,Diesel
5050, Mercedes-Benz Gle Diesel Estate GLE 350d 4Matic AMG Line …     ,"£28,472",2015,SUV,"24,348",3.0L,258PS,Automatic,Diesel
5051, Audi TT 40 TFSI Black Edition 2dr S Tronic 2.0     ,"£28,500",2019,Coupe,"4,238",2.0L,197PS,Automatic,Petrol
5052, Volkswagen Tiguan TDi BMT 190 4Motion R-Line 5dr DSG 2.0     ,"£28,500",2019,SUV,"8,701",2.0L,190PS,Automatic,Diesel
5053, Audi AUDI A1 Sportback S line 30 TFSI 116 PS S tronic 1.0 5dr     ,"
RRP
£28,870
",,,,,,,
5054, Mercedes-Benz Glc Estate Special Edition GLC 220d 4Matic Urban …     ,"£28,776",2019,SUV,"7,670",2.1L,170PS,Automatic,Diesel
5058, Mercedes-Benz E Class E350 BlueTEC AMG Night Edition 4dr …     ,"£17,700",2015,Saloon,"27,622",3.0L,254BHP,Automatic,Diesel
5059, BMW 1 Series M135i 5-Door 3.0 5dr     ,"£17,998",2016,Hatchback,"24,998",3.0L,306BHP,Manual,Petrol
5060, BMW 1 Series 118i M Sport Shadow Edition 5-door 1.5 5dr     ,"£17,998",2019,Hatchback,"6,640",1.5L,136BHP,Manual,Petrol
5061, BMW 1 Series 118i M Sport Shadow Edition 5-door 1.5 5dr     ,"£17,998",2019,Hatchback,"3,600",1.5L,136BHP,Manual,Petrol
5062, BMW 1 Series 118d Sport 5-door 2.0 5dr     ,"£17,998",2019,Hatchback,"13,724",2.0L,150BHP,Automatic,Diesel
5063, BMW X1 Series X1 xDrive20d M Sport 2.0 5dr     ,"£17,998",2016,SUV,"11,049",2.0L,190BHP,Manual,Diesel
5064, BMW X1 Series X1 xDrive20d M Sport 2.0 5dr     ,"£17,998",2016,SUV,"39,755",2.0L,190BHP,Automatic,Diesel
5065, Mercedes-Benz C Class C220d SE Executive Edition 5dr 2.2     ,"£18,000",2017,Estate,"11,200",2.1L,170PS,Manual,Diesel
5066, Mercedes-Benz C Class C220d AMG Line 4dr 2.2     ,"£18,000",2016,Saloon,"26,100",2.1L,170PS,Manual,Diesel
5067, BMW X1 xDrive 20d M Sport 5dr Step Auto 2.0     ,"£18,000",2016,SUV,"50,378",2.0L,190BHP,Automatic,Diesel
5071, Volkswagen Beetle 1.4 Luna 3dr     ,"£1,595",2006,Hatchback,"90,122",1.4L,75BHP,Manual,Petrol
5072, Ford Fiesta 1.25 Zetec 3dr     ,"£2,695",2006,Hatchback,"27,000",1.25L,74BHP,Manual,Petrol
5073, Jaguar X-Type 2.2 D Sport 4dr     ,"£2,995",2006,Saloon,"116,000",2.2L,152BHP,Manual,Diesel
5074, SKODA Fabia 1.2 TSI Elegance 5dr     ,"£6,500",2014,Estate,"42,000",1.2L,104BHP,Manual,Petrol
5075, Fiat 500C 1.2 S (s/s) 2dr     ,"£6,950",2014,Convertible,"29,000",1.2L,69BHP,Manual,Petrol
5076, Ford S-Max 2.0 TDCi Titanium Powershift 5dr     ,"£7,500",2010,MPV,"63,000",2.0L,161BHP,Automatic,Diesel
5077, Fiat Tipo 1.4 MPI Lounge 5dr     ,"£7,950",2017,Hatchback,"40,000",1.4L,95PS,Manual,Petrol
5078, Mercedes-Benz SLK 3.2 SLK320 2dr     ,"£7,950",2002,Convertible,"35,200",3.2L,218BHP,Automatic,Petrol
5079, SKODA Yeti 2.0 TDi CR Elegance Outdoor 4WD 5dr     ,"£8,950",2014,SUV,"61,000",2.0L,140PS,Manual,Diesel
5080, Ford Mondeo 2.0 TDCi Titanium (s/s) 5dr     ,"£8,950",2015,Estate,"88,000",2.0L,150PS,Manual,Diesel
5084, Vauxhall Astra 1.4 i 16v Active 5dr     ,"£1,590",2009,Hatchback,"94,551",1.4L,89BHP,Manual,Petrol
5085, Toyota Yaris 1.3 VVT-i TR 5dr     ,"£2,400",2008,Hatchback,"77,964",1.3L,85BHP,Manual,Petrol
5086, Nissan Note 1.4 16v Acenta R 5dr     ,"£2,690",2008,Hatchback,"32,523",1.4L,87BHP,Manual,Petrol
5087, Nissan Qashqai 1.5 dCi n-tec 2WD 5dr     ,"£2,750",2010,Hatchback,"126,183",1.5L,105BHP,Manual,Diesel
5088, Mercedes-Benz C Class 1.8 C180 Kompressor Avantgarde SE 4dr     ,"£2,790",2006,Saloon,"63,169",1.8L,143BHP,Automatic,Petrol
5089, Peugeot 107 1.0 12v Urban 5dr     ,"£3,150",2012,Hatchback,"34,220",1.0L,67BHP,Manual,Petrol
5090, MINI Hatch 1.6 One 3dr     ,"£3,150",2010,Hatchback,"66,728",1.6L,98BHP,Manual,Petrol
5091, Hyundai i10 1.2 Classic 5dr     ,"£3,190",2011,Hatchback,"38,170",1.2L,84BHP,Manual,Petrol
5092, Jaguar XKR 4.2 2dr     ,"£9,999",2008,Coupe,"99,500",4.2L,420BHP,Automatic,Petrol
5093, Renault Clio 1.2 16v Extreme 3dr     ,"£1,250",CAT,Icon,2009,reg),Hatchback,"87,600",miles
5097, BMW X1 2.0 18d SE sDrive (s/s) 5dr     ,"£10,995",2016,SUV,"98,000",2.0L,150PS,Manual,Diesel
5098, Volkswagen Golf 2.0 TDI BlueMotion Tech GT DSG (s/s) 5dr     ,"£11,495",2015,Hatchback,"42,000",2.0L,148BHP,Automatic,Diesel
5099, Ford Kuga 2.0 TDCi Titanium 5dr     ,"£11,995",2016,SUV,"30,000",2.0L,148BHP,Manual,Diesel
5100, BMW 3 Series 2.0 320d BluePerformance ED Sport (s/s) 4dr     ,"£11,995",2016,Saloon,"61,000",2.0L,163PS,Manual,Diesel
5101, Audi A3 2.0 TDI Sport Sportback quattro 5dr (Nav)     ,"£12,995",2016,Hatchback,"20,000",2.0L,148BHP,Manual,Diesel
5102, Peugeot 2008 1.2 PureTech GT Line EAT (s/s) 5dr     ,"£12,995",2017,SUV,"27,000",1.2L,110PS,Automatic,Petrol
5103, Volkswagen Campervan 1.9 Diesel     ,"£12,995",,,,,,,
5104, Mercedes-Benz C Class 2.0 C350e 6.4kWh Sport G-Tronic+ (s/s) 4dr     ,"£14,995",2016,Saloon,"58,000",2.0L,293PS,Automatic,Hybrid
5105, Audi A4 Avant 2.0 TDI ultra Sport Avant S Tronic (s/s) 5dr     ,"£14,995",2017,Estate,"55,000",2.0L,150PS,Automatic,Diesel
5106, Audi A5 2.0 TDI S line S Tronic quattro (s/s) 2dr     ,"£14,995",2016,Coupe,"48,000",2.0L,187BHP,Automatic,Diesel
5110, Mazda 2 1.5 115 GT Sport Nav+ 5dr     ,"£13,800",2019,Hatchback,"3,988",1.5L,115PS,Manual,Petrol
5111, Fiat 500 1.2 69hp Lounge 3dr     ,"
RRP
£14,519
",Hatchback,Manual,Petrol,year,road,tax,included
5112, SEAT Arona 1.6 TDI 115 SE Technology Lux 5dr     ,"£13,900",2018,SUV,"5,514",1.6L,115PS,Manual,Diesel
5113, Fiat 500 1.0 70hp Mild Hybrid Sport 3dr     ,"
RRP
£14,670
",Hatchback,Manual,Petrol,year,road,tax,included
5114, Fiat 500 1.0 70hp Mild Hybrid Lounge 3dr     ,"
RRP
£15,149
",Hatchback,Manual,Petrol,year,road,tax,included
5115, Fiat 500 1.0 70hp Mild Hybrid Lounge Convertible 2dr     ,"
RRP
£17,150
",Convertible,Manual,Petrol,year,road,tax,included
5116, Fiat 500 1.0 70hp Mild Hybrid Lounge 3dr     ,"
RRP
£14,975
",Hatchback,Manual,Petrol,year,road,tax,included
5117, Fiat 500 1.0 70hp Mild Hybrid Lounge 3dr     ,"
RRP
£15,049
",Hatchback,Manual,Petrol,year,road,tax,included
5118, Fiat 500 1.2 69hp Dualogic Lounge 3dr     ,"
RRP
£15,130
",Hatchback,Automatic,Petrol,year,road,tax,included
5119, Fiat 500 1.0 70hp Mild Hybrid Lounge Convertible 2dr     ,"
RRP
£17,700
",Convertible,Manual,Petrol,year,road,tax,included
5123, KIA Ceed Sportswagon 1.6 CRDi 3 5dr     ,"£16,499",2019,Estate,"5,813",1.6L,116PS,Automatic,Diesel
5124, KIA Proceed 1.4 T-GDi GT-LINE 5dr     ,"£16,999",2019,Estate,"2,180",1.4L,140PS,Manual,Petrol
5125, KIA Sportage 1.6 T-GDi GT-LINE 5dr     ,"£17,350",2017,SUV,"12,150",1.6L,176PS,Automatic,Petrol
5126, KIA Ceed 1.0 T-GDi GT-LINE 5dr     ,"£17,399",2020,Hatchback,"2,200",1.0L,120PS,Manual,Petrol
5127, KIA Sportage 2.0 CRDi KX-4 5dr     ,"£17,450",2017,SUV,"28,057",2.0L,185PS,Automatic,Diesel
5128, KIA Sportage 1.6 T-GDi GT-LINE 5dr     ,"£17,950",2017,SUV,"19,704",1.6L,176PS,Automatic,Petrol
5129, KIA Sportage 1.6 T-GDi GT-LINE 5dr     ,"£17,999",2017,SUV,"8,106",1.6L,176PS,Automatic,Petrol
5130, KIA Proceed 1.4 T-GDi GT-LINE LUNAR EDITION 5dr     ,"£18,499",,,,,,,
5131, KIA Sportage 1.6 T-GDi GT-LINE S 5dr     ,"£18,799",2017,SUV,"26,083",1.6L,176PS,Automatic,Petrol
5132, KIA Optima 1.6 CRDi GT-LINE S 5dr     ,"£19,499",2019,Estate,"9,850",1.6L,136PS,Automatic,Diesel
5136, Land Rover Range Rover Evoque 2.0 eD4 SE Tech (s/s) 5dr     ,"£15,266",2016,SUV,"83,510",2.0L,150PS,Manual,Diesel
5137, Hyundai i800 2.5 CRDi SE 5dr     ,"£15,311",2018,MPV,"32,658",2.5L,136PS,Manual,Diesel
5138, BMW 4 Series 2.0 420d M Sport 2dr     ,"£15,371",2016,Coupe,"31,489",2.0L,190BHP,Automatic,Diesel
5139, Audi A6 Avant 2.0 TDI ultra Black Edition Avant S Tronic (s/s) …     ,"£15,373",2016,Estate,"92,086",2.0L,190PS,Automatic,Diesel
5140, Audi A3 2.0 TDI S line Sportback S Tronic 5dr (Nav)     ,"£15,444",2016,Hatchback,"34,921",2.0L,148BHP,Automatic,Diesel
5141, Mercedes-Benz C Class 2.1 C220d Sport 7G-Tronic+ (s/s) 5dr     ,"£15,487",2016,Estate,"40,057",2.1L,170PS,Automatic,Diesel
5142, Mitsubishi Outlander 2.2 DI-D 3 4WD (s/s) 5dr     ,"£15,491",2017,SUV,"19,432",2.2L,149PS,Manual,Diesel
5143, Audi A4 Avant 2.0 TDI ultra Sport Avant (s/s) 5dr     ,"£15,526",2017,Estate,"23,567",2.0L,150PS,Manual,Diesel
5144, Audi TT 1.8 TFSI Sport Roadster (s/s) 2dr     ,"£15,619",2016,Convertible,"29,348",1.8L,180PS,Manual,Petrol
5145, Audi Q3 2.0 TDI S line S Tronic quattro (s/s) 5dr     ,"£15,623",2015,SUV,"52,764",2.0L,184PS,Automatic,Diesel
5149, Peugeot 308 1.4 VTi S 5dr     ,"£2,450",2008,Hatchback,"85,310",1.4L,95BHP,Manual,Petrol
5150, Jaguar X-Type 2.2 D Sport 4dr     ,"£2,999",2007,Saloon,"83,000",2.2L,152BHP,Manual,Diesel
5151, Alfa Romeo GT 2.0 JTS BlackLine 2dr     ,"£2,999",2007,Coupe,"82,262",2.0L,165BHP,Manual,Petrol
5152, Toyota Aygo 1.0 Black 5dr     ,"£3,250",2009,Hatchback,"60,027",1.0L,67BHP,Manual,Petrol
5153, Fiat Punto Evo 1.2 8V My Life (s/s) 3dr     ,"£3,450",2011,Hatchback,"43,583",1.2L,70PS,Manual,Petrol
5154, Ford Fiesta 1.0 EcoBoost Zetec (s/s) 5dr     ,"£3,750",2013,Hatchback,"114,269",1.0L,99BHP,Manual,Petrol
5155, Fiat Punto 1.2 8V Easy 3dr EU5     ,"£3,750",2012,Hatchback,"76,754",1.2L,70PS,Manual,Petrol
5156, Vauxhall Antara 2.0 CDTi 16v SE 5dr     ,"£3,950",2009,SUV,"99,312",2.0L,150BHP,Automatic,Diesel
5157, Vauxhall Insignia 2.0 CDTi 16v Exclusiv 5dr     ,"£3,999",2012,Hatchback,"112,293",2.0L,158BHP,Manual,Diesel
5158, Ford Fiesta 1.25 Edge 5dr     ,"£4,195",2011,Hatchback,"56,971",1.25L,81BHP,Manual,Petrol
5162, BMW Z3 2.2 Sport 2dr     ,"£5,995",2001,Convertible,"87,331",2.2L,170BHP,Manual,Petrol
5163, Porsche Boxster 2.7 987 Sport Edition 2dr     ,"£13,250",2008,Convertible,"39,000",2.7L,245BHP,Manual,Petrol
5164, Audi A8 3.0 TDI Sport Tiptronic quattro 4dr     ,"£18,000",2016,Saloon,"100,000",3.0L,258BHP,Automatic,Diesel
5165, Audi Q5 3.0 TDI V6 SE S Tronic quattro 5dr     ,"£8,100",2010,SUV,"95,500",3.0L,242BHP,Automatic,Diesel
5166, Dacia Sandero Stepway 1.5 dCi Laureate 5dr     ,"£5,595",2015,Hatchback,"53,828",1.5L,90BHP,Manual,Diesel
5167, Mazda 3 1.6 Tamura 5dr Auto     ,"£6,595",2013,Hatchback,"38,313",1.6L,103BHP,Automatic,Petrol
5168, Ford Fiesta 1.0 EcoBoost 125 Titanium X 5dr     ,"£6,995",2013,Hatchback,"49,288",1.0L,123BHP,Manual,Petrol
5169, Mazda CX-7 2.2d Sport Tech 5dr     ,"£7,495",2012,SUV,"43,892",2.2L,170BHP,Manual,Diesel
5170, Mazda 3 2.0 SE-L Nav 5dr     ,"£7,495",2014,Hatchback,"51,343",2.0L,118BHP,Manual,Petrol
5171, Mazda 2 1.5 SE-L Nav 5dr     ,"£7,995",2017,Hatchback,"35,883",1.5L,89BHP,Manual,Petrol
5175, Volkswagen Transporter TDI BMT 102 Highline Kombi Van Euro 6 2.0     ,"£28,800",2020,Combi,Van,miles,2.0L,102PS,Manual
5176, Mercedes-Benz A Class Diesel Saloon A180d AMG Line Executive …     ,"£28,800",2019,Saloon,"4,426",1.5L,116PS,Automatic,Diesel
5177, Audi A6 40 TDI S Line 4dr S Tronic 2.0     ,"£29,000",2019,Saloon,"8,267",2.0L,204PS,Automatic,Diesel
5178, Mercedes-Benz A Class Amg Hatchback A45 4Matic Premium 5dr …     ,"£29,192",2017,Hatchback,"8,366",2.0L,Automatic,Petrol,3
5179, Mercedes-Benz C Class Diesel Cabriolet C300d AMG Line Premium …     ,"£29,232",2018,Convertible,"8,673",2.0L,245PS,Automatic,Diesel
5180, Mercedes-Benz Cla Class Coupe CLA 220 AMG Line Premium 4dr Tip …     ,"£29,320",2019,Coupe,"11,798",2.0L,190PS,Automatic,Petrol
5181, SKODA Kodiaq TDI Scout 4x4 5dr DSG [7 Seat] 2.0     ,"£29,450",2019,SUV,"5,000",2.0L,150PS,Automatic,Diesel
5182, Mercedes-Benz Glc Diesel Estate GLC 220d 4Matic AMG Line Prem …     ,"£29,712",2018,SUV,"15,492",2.1L,170PS,Automatic,Diesel
5183, Volkswagen Transporter BiTDI 180PS Sportline Kombi Van DSG 2.0     ,"£30,000",2015,Combi,Van,miles,2.0L,178BHP,Automatic
5184, Audi Q5 AVANT T FSI Quattro S Line 5dr S Tronic 2.0     ,"£30,000",2018,SUV,"18,838",2.0L,252PS,Automatic,Petrol
5188, Volvo V40 D2 [122] R DESIGN Edition 5dr 2.0     ,"£18,000",2019,Hatchback,"5,456",2.0L,120PS,Manual,Diesel
5189, Ford S-Max 2.0 TDCi 180 Titanium Sport 5dr Powershift     ,"£18,000",2016,MPV,"32,699",2.0L,210PS,Automatic,Diesel
5190, Mercedes-Benz C Class C220d AMG Line 4dr Auto 2.2     ,"£18,000",2017,Saloon,"59,858",2.1L,170PS,Automatic,Diesel
5191, Ford Focus 2.0T EcoBoost ST-2 5dr     ,"£18,000",2017,Hatchback,"9,066",2.0L,250PS,Manual,Petrol
5192, Volvo S90 2.0 D4 Momentum 4dr Geartronic     ,"£18,000",2018,Saloon,"27,169",2.0L,190PS,Automatic,Diesel
5193, Volvo Xc60 D4 [190] R DESIGN Nav 5dr 2.0     ,"£18,300",2016,SUV,"32,126",2.0L,190BHP,Manual,Diesel
5194, BMW 1 Series 120d Sport 5-door 2.0 5dr     ,"£18,498",2019,Hatchback,"11,234",2.0L,190BHP,Automatic,Diesel
5195, BMW 3 Series 320i M Sport Saloon 2.0 4dr     ,"£18,498",2017,Saloon,"21,353",2.0L,184BHP,Automatic,Petrol
5196, BMW 3 Series 330d xDrive M Sport Saloon 3.0 4dr     ,"£18,498",2016,Saloon,"36,505",3.0L,258BHP,Automatic,Diesel
5197, BMW 4 Series 420d xDrive M Sport Coupe 2.0 2dr     ,"£18,498",2017,Coupe,"39,335",2.0L,190BHP,Automatic,Diesel
5201, BMW Z4 2.5 23i M Sport sDrive 2dr     ,"£9,950",2010,Convertible,"73,000",2.5L,204BHP,Automatic,Petrol
5202, BMW 1 Series 2.0 118d Sport (s/s) 3dr     ,"£12,500",2016,Hatchback,"24,000",2.0L,150PS,Manual,Diesel
5203, BMW 1 Series 1.6 120i M Sport (s/s) 3dr     ,"£12,500",2015,Hatchback,"47,000",1.6L,177PS,Manual,Petrol
5204, BMW Z4 3.0 30i M Sport Highline sDrive 2dr     ,"£13,500",2011,Convertible,"57,000",3.0L,258BHP,Manual,Petrol
5205, BMW 6 Series 3.0 640d SE 2dr     ,"£14,950",2013,Coupe,"46,000",3.0L,313BHP,Automatic,Diesel
5206, Land Rover Range Rover Evoque 2.2 SD4 Pure Tech AWD 5dr     ,"£15,500",2013,SUV,"70,000",2.2L,190BHP,Automatic,Diesel
5207, BMW 2 Series 2.0 220d M Sport Auto (s/s) 2dr     ,"£15,500",2015,Convertible,"33,000",2.0L,190BHP,Automatic,Diesel
5208, Jaguar XK8 4.2 Premium 2dr     ,"£16,500",2004,Coupe,"55,000",4.2L,300BHP,Automatic,Petrol
5209, Jaguar XKR 5.0 Supercharged 2dr     ,"£19,950",2010,Coupe,"54,000",5.0L,503BHP,Automatic,Petrol
5210, BMW 4 Series 2.0 430i Luxury 2dr     ,"£19,950",2016,Convertible,"28,000",2.0L,252BHP,Automatic,Petrol
5214, Mercedes-Benz E Class 3.0 E320 CDI Avantgarde G-Tronic 5dr     ,"£3,500",2006,Estate,"119,000",3.0L,221BHP,Automatic,Diesel
5215, Vauxhall Insignia 2.0 CDTi 16v SE 5dr     ,"£2,999",2012,Hatchback,"95,000",2.0L,158BHP,Automatic,Diesel
5216, Citroen C1 1.0 i Vibe 5dr     ,£986,2005,Hatchback,"90,000",1.0L,68BHP,Manual,Petrol
5217, Land Rover Range Rover 4.4 V8 Vogue 5dr     ,"£3,299",2004,SUV,"100,000",4.4L,282BHP,Automatic,Petrol
5218, Mercedes-Benz E Class 2.1 E250 CDI BlueEFFICIENCY Sport …     ,"£9,000",2012,Convertible,"101,490",2.1L,201BHP,Automatic,Diesel
5219, Mercedes-Benz E Class 2.1 E220 CDI AMG Sport Cabriolet …     ,"£11,500",2014,Convertible,"75,420",2.1L,175BHP,Automatic,Diesel
5220, Volkswagen Golf 2.0 TDI BlueMotion Tech Match DSG (s/s) 5dr     ,"£8,250",2014,Hatchback,"70,000",2.0L,148BHP,Automatic,Diesel
5221, Mercedes-Benz E Class 2.1 E250 CDI BlueEFFICIENCY Sport 4dr     ,"£6,250",2010,Saloon,"88,000",2.1L,201BHP,Manual,Diesel
5222, BMW 5 Series 2.0 520i GPF M Sport Auto (s/s) 4dr     ,"£24,990",2018,Saloon,"8,000",2.0L,184PS,Automatic,Petrol
