,Car_Title,Car_Price,Car_Year,Car_Type_Door,Car_Mileage,Car_engine_size,Car_Horse_PW,Car_Type_Vehicle,Car_Filling_in
3551, BMW 3 Series 2.5 323i SE 4dr     ,"£1,195",1999,Saloon,"132,000",2.5L,170BHP,Manual,Petrol
3552, Ford Fiesta 1.25 Zetec 5dr     ,"£5,990",2013,Hatchback,"45,000",1.25L,81BHP,Manual,Petrol
3553, Mitsubishi ASX 1.6 ZC-M 5dr     ,"£7,995",2015,SUV,"53,000",1.6L,115BHP,Manual,Petrol
3554, Mitsubishi ASX 1.6 3 5dr (Leather)     ,"£8,495",2015,SUV,"49,000",1.6L,115BHP,Manual,Petrol
3555, Mitsubishi Mirage 1.2 3 (s/s) 5dr     ,"£8,495",2019,Hatchback,"1,500",1.2L,80PS,Manual,Petrol
3556, Mitsubishi Mirage 1.2 4 (s/s) 5dr     ,"£8,695",2019,Hatchback,"4,650",1.2L,80PS,Manual,Petrol
3557, KIA Picanto 1.25 2 5dr     ,"£8,795",2016,Hatchback,"24,000",1.25L,84BHP,Automatic,Petrol
3558, Vauxhall Corsa 1.4i ecoTEC Limited Edition 3dr     ,"£8,995",2018,Hatchback,"12,000",1.4L,75PS,Manual,Petrol
3559, Vauxhall Mokka 1.6 CDTi SE (s/s) 5dr     ,"£8,995",2016,Hatchback,"40,500",1.6L,108BHP,Manual,Diesel
3563, Mitsubishi Mirage 1.2 First Edition (s/s) 5dr     ,"
RRP
£15,370
",,,,,,,
3564, SKODA Yeti OUTDOOR SE DRIVE TSI DSG 1.2 5dr     ,"£14,210",2017,SUV,"28,280",1.2L,110PS,Automatic,Petrol
3565, SKODA Octavia SE TSI DSG 1.4 5dr     ,"£14,430",2017,Estate,"11,436",1.4L,150PS,Automatic,Petrol
3566, Mitsubishi Outlander PHEV GX 4H 2.0 5dr     ,"£14,499",2014,SUV,"53,961",2.0L,119BHP,Automatic,Hybrid
3567, SKODA Octavia SE TSI DSG 1.4 5dr     ,"£14,640",2017,Estate,"15,586",1.4L,150PS,Automatic,Petrol
3568, Nissan Qashqai N-CONNECTA DIG-T XTRONIC 1.2 5dr     ,"£14,999",2017,SUV,"19,536",1.2L,113BHP,Automatic,Petrol
3569, SKODA Superb SE L EXECUTIVE TDI DSG 2.0 5dr     ,"£15,110",2017,Hatchback,"53,850",2.0L,150PS,Automatic,Diesel
3570, Mitsubishi Outlander PHEV GX 3H 2.0 5dr     ,"£16,375",2015,SUV,"15,329",2.0L,119BHP,Automatic,Hybrid
3571, SKODA Octavia SCOUT TDI DSG 2.0 5dr     ,"£16,490",2016,Estate,"19,119",2.0L,181BHP,Automatic,Diesel
3572, SKODA Octavia VRS TDI 2.0 5dr     ,"£16,680",2016,Estate,"17,325",2.0L,181BHP,Manual,Diesel
3576, Volkswagen Golf 2.0 TDI BlueMotion Tech Match Edition (s/s) 5dr     ,"£11,000",2016,Hatchback,"38,527",2.0L,148BHP,Manual,Diesel
3577, Ford Focus 1.5 TDCi ST-Line (s/s) 5dr     ,"£11,000",2018,Hatchback,"38,226",1.5L,120PS,Manual,Diesel
3578, Vauxhall Corsa 1.4 [75] Energy 5dr [AC] Hatchback     ,"£11,000",2019,Hatchback,"5,832",1.4L,Manual,Petrol,1
3579, Volkswagen Golf 2.0 TDI BlueMotion Tech GTD (s/s) 5dr     ,"£11,086",2016,Estate,"83,296",2.0L,181BHP,Manual,Diesel
3580, Ford Mondeo 2.0 TDCi Titanium (s/s) 5dr     ,"£11,103",2017,Estate,"52,989",2.0L,150PS,Manual,Diesel
3581, Mercedes-Benz B Class 1.8 B180 CDI Sport 7G-DCT 5dr     ,"£11,111",2014,Hatchback,"54,131",1.8L,109BHP,Automatic,Diesel
3582, Volkswagen Passat 2.0 TDI BlueMotion Tech SE Business DSG …     ,"£11,122",2016,Saloon,"57,220",2.0L,150PS,Automatic,Diesel
3583, Mercedes-Benz A Class 1.5 A180d Sport (Executive) (s/s) 5dr     ,"£11,164",2016,Hatchback,"72,754",1.5L,109PS,Manual,Diesel
3584, Audi A3 Cabriolet 1.4 TFSI CoD SE Cabriolet 2dr     ,"£11,188",2014,Convertible,"40,644",1.4L,148BHP,Manual,Petrol
3585, Mercedes-Benz A Class 1.6 A160 SE (s/s) 5dr     ,"£11,330",2017,Hatchback,"59,423",1.6L,102PS,Manual,Petrol
3589, Fiat 500 1.2 Sport (s/s) 3dr     ,"£4,195",2011,Hatchback,"48,928",1.2L,69BHP,Manual,Petrol
3590, Chevrolet Orlando 1.8 LS 5dr     ,"£4,695",2013,MPV,"77,986",1.8L,139BHP,Manual,Petrol
3591, Citroen C3 1.0 VTi VT 5dr     ,"£4,695",2014,Hatchback,"22,604",1.0L,68BHP,Manual,Petrol
3592, Dacia Duster 1.5 dCi Ambiance 4WD 5dr     ,"£5,995",2014,SUV,"54,500",1.5L,109PS,Manual,Diesel
3593, SKODA Citigo 1.0 MPI (60PS) Monte Carlo Hatchback 3-Dr 3dr     ,"£5,995",2017,Hatchback,"44,777",1.0L,59BHP,Manual,Petrol
3594, Nissan Micra 1.2 Visia 5dr     ,"£5,995",2015,Hatchback,"9,500",1.2L,79BHP,Manual,Petrol
3595, Dacia Sandero Stepway 1.5 dCi Laureate 5dr     ,"£6,295",2015,Hatchback,"42,080",1.5L,90BHP,Manual,Diesel
3596, Renault Clio 0.9 TCe Dynamique S MediaNav (s/s) 5dr     ,"£6,295",2013,Hatchback,"47,867",0.9L,90BHP,Manual,Petrol
3597, BMW 3 Series 2.0 320d M Sport Business Edition Touring 5dr     ,"£6,495",2010,Estate,"86,101",2.0L,184BHP,Manual,Diesel
3598, Nissan Juke 1.6 n-tec 5dr     ,"£6,695",2014,SUV,"58,665",1.6L,115BHP,Manual,Petrol
3602, Vauxhall Astra Sports Tourer Design 1.6CDTi (110PS) SAVE …     ,"£15,495",2019,Estate,10,1.6L,110PS,Manual,Diesel
3603, Vauxhall Mokka X Griffin Plus 1.4i Turbo (140PS) s/s ecoTEC 5dr     ,"£15,495",2019,SUV,"6,144",1.4L,140PS,Manual,Petrol
3604, Vauxhall Astra Sports Tourer Tech Line NAV 1.6CDTi ecoTEC S/S …     ,"£15,495",2019,Estate,10,1.6L,110PS,Manual,Diesel
3605, Vauxhall Insignia Grand Sport Elite NAV 2.0 (170PS) Turbo D …     ,"£19,995",2019,Hatchback,"13,044",2.0L,170PS,Automatic,Diesel
3606, Mercedes-Benz C Class 2.1 D (204Ps) C250 AMG LINE PREMIUM PLUS …     ,"£22,995",2017,Estate,"28,258",2.1L,204PS,Automatic,Diesel
3607, Mercedes-Benz Gla Class GLA45 AMG 4Matic Premium 5dr Auto …     ,"£28,995",2017,SUV,"27,024",2.0L,381PS,Automatic,Petrol
3608, Audi RS3 Sportback Quattro 2.5 (362BHP) NAV S Tronic 5dr     ,"£29,995",2016,Hatchback,"22,451",2.5L,362BHP,Automatic,Petrol
