,Car_Title,Car_Price,Car_Year,Car_Type_Door,Car_Mileage,Car_engine_size,Car_Horse_PW,Car_Type_Vehicle,Car_Filling_in,Car_Make
980, KIA Cee'D 1.6 GDi 2 5dr     ,9698,2016,Hatchback,21010,1.6L,137PS,Manual,Petrol,KIA
981, KIA Picanto 1.25 MPi GT-LINE S 5dr     ,9798,2017,Hatchback,10609,1.25L,84PS,Manual,Petrol,KIA
982, KIA Picanto 1.25 MPi GT-LINE S 5dr     ,9798,2017,Hatchback,16177,1.25L,84PS,Manual,Petrol,KIA
983, Suzuki Ignis 1.2 Dualjet (90ps) SZ-T 5-Door Hatchback 5dr     ,9798,2017,Hatchback,15279,1.2L,90PS,Manual,Petrol,Suzuki
984, Suzuki Ignis 1.2 Dualjet (90ps) SZ-T 5-Door Hatchback 5dr     ,9798,2017,Hatchback,19707,1.2L,90PS,Manual,Petrol,Suzuki
985, Suzuki Swift 1.0 Boosterjet (113ps) SZ-T 5-Door Hatchback 5dr     ,9988,2019,Hatchback,2239,1.0L,111PS,Manual,Petrol,Suzuki
986, Suzuki Swift 1.0 Boosterjet (113ps) SZ-T 5-Door Hatchback 5dr     ,9988,2019,Hatchback,6232,1.0L,111PS,Manual,Petrol,Suzuki
987, Audi A3 1.4 TFSI S LINE 5d CoD     ,10995,2014,Hatchback,73000,1.4L,148BHP,Manual,Petrol,Audi
989, Mercedes-Benz A Class 1.5 A160 BlueEFFICIENCY Classic SE 5dr     ,4500,2012,Hatchback,51357,1.5L,95BHP,Manual,Petrol,Mercedes-Benz
990, Renault Clio 1.2 T 16v Dynamique 5dr (Tom Tom)     ,1695,2010,Hatchback,115985,1.2L,100BHP,Manual,Petrol,Renault
991, Ford Fiesta 1.4 TDCi Zetec Blue Edition 5dr     ,1795,2008,Hatchback,87270,1.4L,67BHP,Manual,Diesel,Ford
992, Ford Fiesta 1.6 TDCi ECOnetic 3dr     ,1995,2009,Hatchback,108659,1.6L,89BHP,Manual,Diesel,Ford
993, Citroen DS3 1.6 e-HDi Airdream DStyle 3dr     ,3500,2014,Hatchback,92821,1.6L,90BHP,Manual,Diesel,Citroen
994, Citroen C1 1.0 i Splash 3dr     ,2106,2010,Hatchback,75525,1.0L,68BHP,Manual,Petrol,Citroen
995, Audi A6 Saloon 2.0 TDI SE 4dr     ,8200,2011,Saloon,82000,2.0L,175BHP,Manual,Diesel,Audi
996, BMW X5 3.0 D SPORT 5d 215 BHP     ,3450,2006,SUV,150000,3.0L,215BHP,Automatic,Diesel,BMW
997, KIA Sportage CRDI GT-LINE ISG 1.6 5dr     ,20880,2019,SUV,11956,1.6L,136PS,Automatic,Diesel,KIA
998, KIA Proceed GT-LINE S ISG 1.4 5dr     ,21250,2019,Estate,641,1.4L,140PS,Automatic,Petrol,KIA
999, KIA Sportage CRDI GT-LINE S ISG 1.6 5dr     ,21690,2018,SUV,22400,1.6L,136PS,Automatic,Diesel,KIA
1000, KIA Sorento CRDI KX-3 ISG 2.2 5dr     ,22490,2017,SUV,29961,2.2L,200PS,Automatic,Diesel,KIA
1001, KIA Sorento CRDI KX-3 ISG 2.2 5dr     ,22490,2017,SUV,22439,2.2L,200PS,Automatic,Diesel,KIA
1002, KIA Sportage 4 ISG 1.6 5dr     ,22890,2019,SUV,13504,1.6L,176PS,Automatic,Petrol,KIA
1003, KIA Sportage 4 ISG 1.6 5dr     ,22890,2019,SUV,11029,1.6L,176PS,Automatic,Petrol,KIA
1004, KIA Sorento CRDI KX-4 ISG 2.2 5dr     ,22990,2017,SUV,37884,2.2L,200PS,Automatic,Diesel,KIA
1005, KIA Sportage 4 ISG 1.6 5dr     ,23190,2019,SUV,8156,1.6L,176PS,Automatic,Petrol,KIA
1006, KIA Sportage 4 ISG 1.6 5dr     ,23290,2019,SUV,4588,1.6L,176PS,Automatic,Petrol,KIA
1009, Volkswagen Tiguan Match Edition 2.0 5dr     ,12999,2016,SUV,44672,2.0L,148BHP,Manual,Diesel,Volkswagen
1010, Volkswagen Tiguan Match Edition 2.0 5dr     ,13499,2016,SUV,37689,2.0L,148BHP,Manual,Diesel,Volkswagen
1011, Audi A1 Sportback Tfsi S Line 1.4 5dr     ,13599,2016,Hatchback,38285,1.4L,125PS,Manual,Petrol,Audi
1013, SEAT Arona Tdi Se Technology Lux 1.6 5dr     ,14499,2019,SUV,8960,1.6L,115PS,Manual,Diesel,SEAT
1014, Audi A3 Tdi S Line 1.6 5dr     ,14800,2016,Hatchback,33442,1.6L,110PS,Manual,Diesel,Audi
1016, Audi Q3 S line Plus 2.0 5dr     ,14999,2015,SUV,72000,2.0L,184PS,Automatic,Diesel,Audi
1027, Volvo V40 T2 [122] R DESIGN 5dr 2.0     ,13500,2018,Hatchback,14499,2.0L,122PS,Manual,Petrol,Volvo
1028, Mazda CX-3 2.0 Sport Nav 5dr     ,14500,2018,SUV,27000,2.0L,121PS,Manual,Petrol,Mazda
1029, Dacia Duster 1.3 TCe 130 Prestige 5dr     ,14750,2019,SUV,100,1.3L,130PS,Manual,Petrol,Dacia
1030, Dacia Duster 1.3 TCe 130 Techroad 5dr     ,15750,2019,SUV,4599,1.3L,130PS,Manual,Petrol,Dacia
1031, Renault Clio ICONIC TCE100 1.0 5dr     ,15850,2019,Hatchback,2250,1.0L,100PS,Manual,Petrol,Renault
1032, Mazda 2 1.5 Skyactiv-G Sport Nav 5dr     ,16000,2019,Hatchback,400,1.5L,90PS,Manual,Petrol,Mazda
1033, Renault Clio RS LINE 1.3TCE EDC AUTO 5dr     ,17250,2019,Hatchback,3785,1.3L,130PS,Automatic,Petrol,Renault
1034, Mazda 6 2.0 Sport Nav+ 4dr     ,17490,2018,Saloon,9000,2.0L,165PS,Manual,Petrol,Mazda
1035, Renault Megane 1.5 Blue dCi 115 GT Line 5dr     ,17500,2019,Hatchback,5250,1.5L,115PS,Manual,Diesel,Renault
1036, Renault Kadjar 1.3 TCE S Edition 5dr     ,17500,2019,SUV,5005,1.3L,140PS,Manual,Petrol,Renault
1037, Vauxhall Meriva 1.4T 16V Exclusiv 5dr Auto Estate     ,7806,2016,MPV,21187,1.4L,118BHP,Automatic,Petrol,Vauxhall
1038, Vauxhall Corsa 1.4 [75] Energy 5dr [AC] Hatchback     ,7808,2018,Hatchback,19564,1.4L,75PS,Manual,Petrol,Vauxhall
1039, Mazda6 2.2 SKYACTIV-D SE-L Nav (s/s) 4dr     ,7860,2017,Saloon,91194,2.2L,150PS,Manual,Diesel,Mazda6
1040, Peugeot 208 1.6 BlueHDi Allure (s/s) 5dr     ,7872,2017,Hatchback,34082,1.6L,99PS,Manual,Diesel,Peugeot
1041, Ford Mondeo 1.5 TDCi ECOnetic Zetec (s/s) 5dr     ,7886,2016,Estate,87702,1.5L,120PS,Manual,Diesel,Ford
1042, Vauxhall Corsa 1.4 [75] Energy 3dr [AC] Hatchback     ,7887,2019,Hatchback,5833,1.4L,75PS,Manual,Petrol,Vauxhall
1043, Vauxhall Corsa 1.4 [75] Energy 3dr [AC] Hatchback     ,7887,2019,Hatchback,5891,1.4L,75PS,Manual,Petrol,Vauxhall
1044, Vauxhall Corsa 1.4 [75] Energy 3dr [AC] Hatchback     ,7887,2019,Hatchback,8504,1.4L,75PS,Manual,Petrol,Vauxhall
1045, Vauxhall Corsa 1.4 [75] Energy 3dr [AC] Hatchback     ,7887,2019,Hatchback,6750,1.4L,75PS,Manual,Petrol,Vauxhall
1046, Vauxhall Corsa 1.4 [75] Energy 3dr [AC] Hatchback     ,7887,2019,Hatchback,6760,1.4L,75PS,Manual,Petrol,Vauxhall
1047, Hyundai Tucson 1.7 CRDi Blue Drive SE Nav DCT (s/s) 5dr     ,16298,2018,SUV,13698,1.7L,141PS,Automatic,Diesel,Hyundai
1048, BMW 2 Series 2.0 218d Sport Auto (s/s) 2dr     ,16691,2018,Coupe,16755,2.0L,150PS,Automatic,Diesel,BMW
1049, KIA Sportage 1.7 CRDi 3 DCT (s/s) 5dr     ,16995,2018,SUV,35927,1.7L,141PS,Automatic,Diesel,KIA
1050, Land Rover Discovery Sport 2.0 TD4 SE 4WD (s/s) 5dr     ,17295,2015,SUV,56786,2.0L,180PS,Manual,Diesel,Land
1051, Volkswagen Tiguan 2.0 TDI SE DSG (s/s) 5dr     ,17490,2017,SUV,16114,2.0L,150PS,Automatic,Diesel,Volkswagen
1052, Mercedes-Benz Gla Class 2.1 GLA200d SE 7G-DCT (s/s) 5dr     ,17490,2017,SUV,20347,2.1L,136PS,Automatic,Diesel,Mercedes-Benz
1053, BMW 1 Series 1.5 118i GPF M Sport Shadow Edition Sports Hatch …     ,17697,2019,Hatchback,7211,1.5L,136PS,Automatic,Petrol,BMW
1054, SEAT Alhambra 2.0 TDI SE Lux DSG (s/s) 5dr     ,17984,2016,MPV,21188,2.0L,184PS,Automatic,Diesel,SEAT
1055, Toyota RAV4 2.5 VVT-h Business Edition Plus CVT (s/s) 5dr …     ,18479,2017,SUV,34385,2.5L,197PS,Automatic,Hybrid,Toyota
1056, Alfa Romeo Giulietta 2.0 JTDM-2 Sportiva Nav 5dr Satellite …     ,9350,2014,Hatchback,33729,2.0L,150BHP,Manual,Diesel,Alfa
1057, Vauxhall Insignia 2.0 CDTi 16v SRi 5dr     ,2495,2010,Hatchback,114000,2.0L,158BHP,Manual,Diesel,Vauxhall
1058, Vauxhall Corsa 1.4 i 16v SXi 5dr     ,2495,2009,Hatchback,50000,1.4L,89BHP,Manual,Petrol,Vauxhall
1059, Vauxhall Astra 1.6 16v SRi 5dr     ,3795,2011,Hatchback,64000,1.6L,115PS,Manual,Petrol,Vauxhall
1060, BMW 3 Series 3.0 325d M Sport Highline 2dr     ,7995,2009,Convertible,57000,3.0L,197BHP,Automatic,Diesel,BMW
1061, Toyota Hilux 3.0 D-4D Invincible Crewcab Pickup 4dr     ,12000,2013,Pickup,84000,3.0L,171BHP,Manual,Diesel,Toyota
1062," Suzuki S-Cross Sx-4 JUST 2891 MILES!! PETROL MANUAL WITH SAFE, …     ",9995,2016,SUV,2891,1.6L,118BHP,Manual,Petrol,Suzuki
1063, Vauxhall Meriva CLUB AUTOMATIC WITH JUST 589 MILES!! ( YES 589 …     ,10995,2016,MPV,589,1.4L,118BHP,Automatic,Petrol,Vauxhall
1064," Peugeot 2008 BLUE HDI ACTIVE ONE OWNER AND JUST 1,906 MILES …     ",12995,2018,SUV,1906,1.6L,99PS,Manual,Diesel,Peugeot
1066, Ford Fiesta 1.6 Zetec S 3dr     ,950,2005,Hatchback,126000,1.6L,99BHP,Manual,Petrol,Ford
1067, Porsche Panamera 3.0 TD V6 Tiptronic S 5dr     ,21500,2012,Hatchback,52488,3.0L,250BHP,Automatic,Diesel,Porsche
1069, Volvo XC60 2.0 D4 R-Design (s/s) 5dr     ,8850,2014,SUV,116000,2.0L,181BHP,Manual,Diesel,Volvo
1074, BMW X5 3.0 40d M Sport xDrive (s/s) 5dr     ,13995,2011,SUV,91600,3.0L,306BHP,Automatic,Diesel,BMW
1075, Audi A4 2.0 CVT 4dr     ,400,2003,Saloon,182000,2.0L,130BHP,Automatic,Petrol,Audi
1076, Renault Clio 1.2 Campus 5dr     ,750,2008,Hatchback,67000,1.2L,60BHP,Manual,Petrol,Renault
1077, Suzuki Ignis 1.2 Dualjet (90ps) SZ-T 5-Door Hatchback 5dr     ,9998,2018,Hatchback,13783,1.2L,90PS,Manual,Petrol,Suzuki
1078, Suzuki Ignis 1.2 Dualjet (90ps) SZ-T 5-Door Hatchback 5dr     ,9998,2018,Hatchback,4791,1.2L,90PS,Manual,Petrol,Suzuki
1079, Suzuki S-Cross 1.6 120ps SZ-T ALLGRIP Station Wagon 5-Dr 5dr     ,9998,2016,SUV,33147,1.6L,118BHP,Manual,Petrol,Suzuki
1080, Nissan Qashqai 1.6dCi Acenta Premium S/S 4X4 5dr     ,9998,2014,SUV,47892,1.6L,128BHP,Manual,Diesel,Nissan
1081, KIA Cee'D 1.0 T-GDi 3 5dr     ,10298,2016,Hatchback,25028,1.0L,120PS,Manual,Petrol,KIA
1082, Nissan Pulsar 1.2 DIG-T N-Connecta Hatchback 5-Door 5dr     ,10498,2017,Hatchback,9495,1.2L,115PS,Automatic,Petrol,Nissan
1083, Suzuki Vitara 1.6 DDiS SZ-T MPV 5-Door 5dr     ,10498,2016,SUV,26795,1.6L,120PS,Manual,Diesel,Suzuki
1085, Nissan Qashqai 1.2 DIG-T Acenta S/S 5dr     ,10798,2016,SUV,21662,1.2L,113BHP,Manual,Petrol,Nissan
1086, Nissan Juke 1.2 DIG-T N-Connecta 5-Door Hatchback 5dr     ,10998,2018,SUV,19927,1.2L,115PS,Manual,Petrol,Nissan
1087, Jaguar XJ 2.7 TDVI EXECUTIVE 4d 206 BHP     ,4450,2005,Saloon,87000,2.7L,205BHP,Automatic,Diesel,Jaguar
1088, BMW 1 SERIES 2.0 116D M SPORT 5d 114 BHP     ,5950,2012,Hatchback,100000,2.0L,114BHP,Manual,Diesel,BMW
1089, Mercedes-Benz E-Class 1.8 E250 CGI BLUEEFFICIENCY SPORT 5d 204 …     ,6950,2010,Estate,110000,1.8L,204BHP,Automatic,Petrol,Mercedes-Benz
1090, SEAT Leon 1.6 TDI SE TECHNOLOGY DSG 5d 105 BHP     ,6950,2015,Hatchback,84000,1.6L,105BHP,Automatic,Diesel,SEAT
1091, BMW X1 2.0 XDRIVE20D M SPORT 5d 174 BHP     ,7950,2011,SUV,79000,2.0L,174BHP,Automatic,Diesel,BMW
1092, Ford Mondeo 2.0 TITANIUM TDCI 5d 148 BHP     ,8650,2015,Hatchback,70000,2.0L,148BHP,Automatic,Diesel,Ford
1093, Jaguar XF 2.2 D LUXURY 4d 190 BHP     ,8650,2012,Saloon,78000,2.2L,190BHP,Automatic,Diesel,Jaguar
1094, Volkswagen Golf 1.6 MATCH TDI BLUEMOTION TECHNOLOGY DSG 5d 103 …     ,8850,2015,Hatchback,57000,1.6L,103BHP,Automatic,Diesel,Volkswagen
1095, Audi A3 1.6 TDI ULTRA SE TECHNIK 5d 109 BHP     ,8950,2016,Hatchback,79000,1.6L,108BHP,Manual,Diesel,Audi
1096, Audi A1 1.6 SPORTBACK TDI SPORT 5d 114 BHP     ,9950,2016,Hatchback,30000,1.6L,114BHP,Manual,Diesel,Audi
1097, KIA Sportage 4 ISG 1.6 5dr     ,23290,2019,SUV,4390,1.6L,176PS,Automatic,Petrol,KIA
1098, KIA Sportage 4 ISG 1.6 5dr     ,23290,2019,SUV,7598,1.6L,176PS,Automatic,Petrol,KIA
1107, Volkswagen Tiguan SE 2.0 5dr     ,16999,2017,SUV,28873,2.0L,150PS,Manual,Diesel,Volkswagen
1108, Audi A3 Tdi Quattro S Line Nav 2.0 5dr     ,16999,2016,Hatchback,18576,2.0L,148BHP,Manual,Diesel,Audi
1109, Volkswagen Golf Match Tdi Dsg 1.6 5dr     ,16999,2019,Hatchback,6038,1.6L,115PS,Automatic,Diesel,Volkswagen
1110, Volkswagen Golf Match 1.0 5dr     ,17500,2019,Hatchback,9312,1.0L,115PS,Automatic,Petrol,Volkswagen
1111, Audi A3 Tfsi S Line Nav 1.4 5dr     ,17699,2015,Hatchback,16702,1.4L,148BHP,Automatic,Petrol,Audi
1112, Volkswagen Passat Alltrack Tdi Bluemotion Tech 4Motion Dsg 2.0 …     ,17899,2016,Estate,27901,2.0L,190PS,Automatic,Diesel,Volkswagen
1113, Volkswagen Golf GTD 2.0 5dr     ,17990,2017,Hatchback,27979,2.0L,184PS,Automatic,Diesel,Volkswagen
1114, Volkswagen Golf GT 1.5 5dr     ,17999,2019,Hatchback,11516,1.5L,150PS,Manual,Petrol,Volkswagen
1115, Audi Q3 S line Plus 2.0 5dr     ,17999,2016,SUV,42018,2.0L,184PS,Manual,Diesel,Audi
1116, Audi Q3 S line Plus 2.0 5dr     ,17999,2015,SUV,26516,2.0L,150PS,Manual,Diesel,Audi
1119, BMW 3 Series 2.0 320d M Sport Touring (s/s) 5dr     ,13350,2012,Estate,66465,2.0L,184BHP,Automatic,Diesel,BMW
1123, Volkswagen Polo 1.8 TSI GTI (s/s) 5dr     ,12200,2017,Hatchback,20000,1.8L,189BHP,Manual,Petrol,Volkswagen
1125, Toyota Hilux 3.0 D-4D Invincible Double Cab Pickup 4dr     ,12000,2015,Pickup,91000,3.0L,171BHP,Manual,Diesel,Toyota
1127, Audi A5 Cabriolet 2.7 TDI S line Cabriolet Multitronic 2dr     ,6495,2010,Convertible,136000,2.7L,187BHP,Automatic,Diesel,Audi
1128, Mazda 3 2.0 Skyactiv-G MHEV SE-L Lux 5dr     ,18000,2019,Hatchback,6000,2.0L,122PS,Manual,Petrol,Mazda
1129, Mazda MX-5 1.5 [132] SE-L Nav+ 2dr     ,18500,2019,Convertible,5750,1.5L,132PS,Manual,Petrol,Mazda
1131, Mazda CX-30 2.0 Skyactiv-G MHEV SE-L 5dr     ,20250,2020,SUV,650,2.0L,122PS,Manual,Petrol,Mazda
1132, Renault Captur 1.0 TCE 100 S Edition 5dr     ,20400,2020,SUV,525,1.0L,100PS,Manual,Petrol,Renault
1133, Mazda 6 2.0 Sport Nav+ 4dr     ,21250,2019,Saloon,2000,2.0L,165PS,Manual,Petrol,Mazda
1134, Mazda 3 GT Sport Tech HEV 2.0 5dr     ,21900,2019,Hatchback,5500,2.0L,122PS,Manual,Petrol,Mazda
1135, Mazda CX-5 2.2d Sport Nav+ 5dr     ,22000,2018,SUV,17800,2.2L,150PS,Manual,Diesel,Mazda
1138, Peugeot 2008 1.4 HDi Access+ 5dr     ,5795,2013,SUV,44105,1.4L,70BHP,Manual,Diesel,Peugeot
1139, Vauxhall Corsa 1.4 [75] Energy 3dr [AC] Hatchback     ,7887,2019,Hatchback,9104,1.4L,75PS,Manual,Petrol,Vauxhall
1140, Hyundai i30 1.6 CRDi Blue Drive SE 5dr     ,7930,2017,Hatchback,46482,1.6L,108BHP,Manual,Diesel,Hyundai
1141, Volvo V40 2.0 D3 R-Design Lux Nav 5dr     ,7963,2016,Hatchback,107482,2.0L,150BHP,Manual,Diesel,Volvo
1142, Vauxhall Adam 1.2i Energised 3dr Hatchback     ,7974,2017,Hatchback,7150,1.2L,70PS,Manual,Petrol,Vauxhall
1143, Vauxhall Corsa 1.4 [75] Energy 3dr [AC] Hatchback     ,7987,2019,Hatchback,5688,1.4L,75PS,Manual,Petrol,Vauxhall
1144, Vauxhall Corsa 1.4 [75] Energy 3dr [AC] Hatchback     ,7987,2019,Hatchback,6890,1.4L,75PS,Manual,Petrol,Vauxhall
1145, Vauxhall Corsa 1.4 [75] Energy 3dr [AC] Hatchback     ,7987,2019,Hatchback,6810,1.4L,75PS,Manual,Petrol,Vauxhall
1146, Vauxhall Corsa 1.4 [75] Energy 3dr [AC] Hatchback     ,7987,2019,Hatchback,8569,1.4L,75PS,Manual,Petrol,Vauxhall
1147, Vauxhall Corsa 1.4 [75] Energy 3dr [AC] Hatchback     ,7987,2019,Hatchback,6467,1.4L,75PS,Manual,Petrol,Vauxhall
1148, Dacia Sandero 0.9 TCe Essential Stepway (s/s) 5dr     ,7991,2018,Hatchback,12789,0.9L,90PS,Manual,Petrol,Dacia
1149, Audi A6 Avant 3.0 TDI V6 SE Avant S Tronic quattro (s/s) 5dr     ,18995,2016,Estate,37092,3.0L,272PS,Automatic,Diesel,Audi
1150, Mercedes-Benz E Class 2.0 E220d AMG Line G-Tronic+ (s/s) 4dr     ,19197,2017,Saloon,31553,2.0L,194PS,Automatic,Diesel,Mercedes-Benz
1151, Land Rover Discovery Sport 2.0 TD4 SE Tech 4WD (s/s) 5dr     ,19989,2016,SUV,24949,2.0L,180PS,Manual,Diesel,Land
1152, BMW 3 Series 2.0 330e 7.6kWh M Sport Auto (s/s) 4dr     ,19998,2017,Saloon,17817,2.0L,252PS,Automatic,Hybrid,BMW
1153, Ford Kuga 1.5T EcoBoost Titanium X Auto AWD (s/s) 5dr     ,20495,2019,SUV,3828,1.5L,176PS,Automatic,Petrol,Ford
1154, Volkswagen Touareg 3.0 TDI V6 BlueMotion Tech R-Line Tiptronic …     ,20495,2015,SUV,28250,3.0L,262PS,Automatic,Diesel,Volkswagen
1155, Toyota C-Hr 1.8 VVT-h Excel CVT (s/s) 5dr     ,21490,2018,SUV,5611,1.8L,122PS,Automatic,Hybrid,Toyota
1156, Mercedes-Benz Glc Class 2.1 GLC220d AMG Line G-Tronic 4MATIC …     ,22499,2016,SUV,21648,2.1L,170PS,Automatic,Diesel,Mercedes-Benz
1157, Volvo V40 1.6 D2 ES 5dr     ,6750,2014,Hatchback,64000,1.6L,115BHP,Manual,Diesel,Volvo
1158, Volkswagen Golf 2.0 TSI GTI 3dr     ,11000,2012,Hatchback,41000,2.0L,207BHP,Manual,Petrol,Volkswagen
1159, Citroen C1 1.0 i VT 3dr     ,1870,2012,Hatchback,66630,1.0L,68BHP,Manual,Petrol,Citroen
1160, Peugeot 2008 1.6 e-HDi Feline (s/s) 5dr     ,7500,2014,SUV,37197,1.6L,92BHP,Manual,Diesel,Peugeot
1161, Citroen C1 1.0 i VT 3dr     ,2495,2011,Hatchback,70442,1.0L,68BHP,Manual,Petrol,Citroen
1162, Suzuki Grand Vitara 1.6 SZ3 3dr     ,3995,2009,SUV,60893,1.6L,104BHP,Manual,Petrol,Suzuki
1163, Peugeot 208 1.0 VTi Access+ 5dr     ,4490,2014,Hatchback,42929,1.0L,68BHP,Manual,Petrol,Peugeot
1164, Nissan Pulsar 1.2 DIG-T Acenta XTRON (s/s) 5dr     ,9500,2016,Hatchback,7700,1.2L,115PS,Automatic,Petrol,Nissan
1165, Peugeot 208 1.6 THP GTi Prestige (s/s) 3dr     ,10990,2017,Hatchback,24850,1.6L,208PS,Manual,Petrol,Peugeot
1166, Renault Scenic 1.6 dCi Dynamique Nav (s/s) 5dr     ,11695,2016,MPV,21842,1.6L,130PS,Manual,Diesel,Renault
1167, Volkswagen Caddy Maxi Life 2.0 TDI C20 Maxi Life 4MOTION 5dr …     ,12800,2012,MPV,90000,2.0L,108BHP,Manual,Diesel,Volkswagen
1169, Mercedes-Benz C Class 3.0 C350 CDI BlueEFFICIENCY Sport …     ,7520,2011,Saloon,133000,3.0L,265BHP,Automatic,Diesel,Mercedes-Benz
1170, BMW M3 4.0 V8 DCT 2dr     ,19000,2010,Coupe,60400,4.0L,420BHP,Automatic,Petrol,BMW
1171, Vauxhall Mokka 1.7 CDTi 16v SE FWD 5dr     ,6160,2014,Hatchback,78000,1.7L,128BHP,Automatic,Diesel,Vauxhall
1172, Land Rover Discovery 4 3.0 SD V6 HSE (s/s) 5dr     ,23565,2015,SUV,83000,3.0L,255BHP,Automatic,Diesel,Land
1174, Mitsubishi Shogun 3.2 TD Equippe 5dr     ,2650,2002,SUV,92755,3.2L,158BHP,Manual,Diesel,Mitsubishi
1175, Volkswagen Passat 2.0 TDI BlueMotion Tech Highline 5dr     ,7495,2013,Estate,71568,2.0L,138BHP,Manual,Diesel,Volkswagen
1176, Mercedes-Benz C Class 2.1 C220 CDI BlueTEC Sport (s/s) 4dr     ,13000,2014,Saloon,73580,2.1L,170PS,Manual,Diesel,Mercedes-Benz
1177, Suzuki Celerio 1.0 SZ2 5dr     ,4750,2016,Hatchback,33085,1.0L,68PS,Manual,Petrol,Suzuki
1178, KIA RIO 1.25 MPi 2 5dr     ,10998,2018,Hatchback,10134,1.25L,84PS,Manual,Petrol,KIA
1179, Suzuki S-Cross 1.6 DDiS (120ps) SZ-T Station Wagon 5-Door 5dr     ,10998,2017,SUV,26797,1.6L,120PS,Manual,Diesel,Suzuki
1181, KIA RIO 1.25 MPi 2 5dr     ,11488,2019,Hatchback,8348,1.25L,84PS,Manual,Petrol,KIA
1183, KIA Sportage 1.6 GDi 1 5dr     ,11498,2017,SUV,24496,1.6L,132PS,Manual,Petrol,KIA
1185, Hyundai Kona 1.0 T-GDi S 5dr     ,12649,2018,SUV,10478,1.0L,120PS,Manual,Petrol,Hyundai
1186, Mercedes-Benz E-Class 2.1 E220 CDI SE 4d 168 BHP     ,10650,2014,Saloon,52000,2.1L,168BHP,Automatic,Diesel,Mercedes-Benz
1187, Mercedes-Benz SLK 2.1 SLK250 CDI BLUEEFFICIENCY AMG SPORT 2d …     ,10750,2013,Convertible,40000,2.1L,204BHP,Automatic,Diesel,Mercedes-Benz
1188, BMW 2 SERIES 1.5 218I SPORT 2d 134 BHP     ,10950,2016,Coupe,42000,1.5L,134BHP,Manual,Petrol,BMW
1189, BMW X3 2.0 XDRIVE20D M SPORT 5d 181 BHP     ,11650,2013,SUV,90000,2.0L,181BHP,Automatic,Diesel,BMW
1190, BMW X5 3.0 XDRIVE30D M SPORT 5d 241 BHP awaiting …     ,12950,2012,SUV,68000,3.0L,241BHP,Automatic,Diesel,BMW
1191, KIA Niro 1.6 2 5d 104 BHP     ,13350,2017,SUV,45000,1.6L,104BHP,Automatic,Hybrid,KIA
1192, Land Rover Range Rover Evoque 2.2 SD4 PURE TECH 5d 190 BHP     ,13950,2012,SUV,70000,2.2L,190BHP,Automatic,Diesel,Land
1193, Volkswagen Sharan 2.0 SE TDI DSG 5d 142 BHP     ,13950,2015,MPV,25000,2.0L,142BHP,Automatic,Diesel,Volkswagen
1194, Audi TT 2.0 TDI ULTRA SPORT 2d 182 BHP     ,15950,2015,Convertible,18000,2.0L,182BHP,Manual,Diesel,Audi
1195, Mercedes-Benz C-Class 6.2 C63 AMG 4d 451 BHP just in awaiting …     ,17650,2011,Saloon,55000,6.3L,451BHP,Automatic,Petrol,Mercedes-Benz
1196, Citroen Xsara Picasso 1.6 HDi Exclusive 5dr     ,990,2006,MPV,90000,1.6L,110BHP,Manual,Diesel,Citroen
1197, BMW 5 Series 2.0 520d M Sport Touring 5dr     ,6790,2012,Estate,139000,2.0L,184BHP,Automatic,Diesel,BMW
1198, Citroen Berlingo 1.6 BlueHDi Feel Multispace 5dr     ,9490,2017,MPV,8000,1.6L,100PS,Manual,Diesel,Citroen
1201, Audi A4 2.0 TDI CR S line 4dr     ,5998,2010,Saloon,107633,2.0L,168BHP,Manual,Diesel,Audi
1202, Mercedes-Benz A Class 2.0 A160 CDI Avantgarde SE 5dr     ,2499,2011,Hatchback,81000,2.0L,82BHP,Manual,Diesel,Mercedes-Benz
1203, Mercedes-Benz E Class 2.1 E220 CDI BlueEFFICIENCY SE …     ,7495,2012,Saloon,57000,2.1L,175BHP,Automatic,Diesel,Mercedes-Benz
1204, Citroen C-Crosser 2.2 HDi Exclusive 5dr     ,3000,2010,SUV,154000,2.2L,156BHP,Manual,Diesel,Citroen
1205, Vauxhall Insignia 2.0 CDTi 16v Exclusiv 5dr     ,2495,2010,Hatchback,90000,2.0L,128BHP,Automatic,Diesel,Vauxhall
1207, Audi A1 Sportback Tfsi Sport 1.0 5dr     ,18300,2019,Hatchback,1068,1.0L,116PS,Manual,Petrol,Audi
1208, Audi Q2 Tfsi Sport 1.4 5dr     ,18495,2017,SUV,31813,1.4L,150PS,Automatic,Petrol,Audi
1210, Audi A4 Allroad Sport 2.0 5dr     ,20369,2017,Estate,48385,2.0L,190PS,Automatic,Diesel,Audi
1212, Mercedes-Benz C Class C 220 D Amg Line 2.2 2dr     ,22995,2017,Convertible,23347,2.1L,170PS,Automatic,Diesel,Mercedes-Benz
1219, Mercedes-Benz SL Class 3.7 SL350 2dr     ,7250,2005,Convertible,77000,3.7L,245BHP,Automatic,Petrol,Mercedes-Benz
1220, BMW 1 Series 3.0 M135i (s/s) 5dr     ,17450,2015,Hatchback,26878,3.0L,326PS,Manual,Petrol,BMW
1221, Volvo XC90 2.4 D5 Active Geartronic AWD 5dr     ,5500,2010,SUV,125000,2.4L,182BHP,Automatic,Diesel,Volvo
