,Car_Title,Car_Price,Car_Year,Car_Type_Door,Car_Mileage,Car_engine_size,Car_Horse_PW,Car_Type_Vehicle,Car_Filling_in,Car_Make
8518, Ford Fiesta Titanium 1.5 5dr     ,7491,2014,Hatchback,30000,1.5L,74BHP,Manual,Diesel,Ford
8519, Renault Captur Dynamique Nav 1.5 5dr     ,7491,2015,SUV,59013,1.5L,90BHP,Manual,Diesel,Renault
8520, Renault Clio Dynamique S Nav 1.5 5dr     ,7491,2017,Hatchback,67000,1.5L,90PS,Manual,Diesel,Renault
8521, Ford Mondeo Titanium Tdci 2.0 5dr     ,7691,2015,Hatchback,101895,2.0L,180PS,Manual,Diesel,Ford
8522, Renault Captur Dynamique Nav 0.9 5dr     ,7991,2016,SUV,41000,0.9L,90BHP,Manual,Petrol,Renault
8524, Renault Megane Limited Nav Energy Dci S/S 1.6 5dr     ,7991,2015,Hatchback,19667,1.6L,130BHP,Manual,Diesel,Renault
8535, Renault Captur 1.5 dCi 90 Dynamique Nav 5dr     ,7800,2016,SUV,49506,1.5L,90BHP,Manual,Diesel,Renault
8536, Volvo V40 D2 SE Lux 5dr 1.6     ,8000,2013,Hatchback,39185,1.6L,115BHP,Manual,Diesel,Volvo
8537, KIA Venga Hatchback 1.4 ISG 2 5dr     ,8000,2016,MPV,20745,1.4L,90PS,Manual,Petrol,KIA
8538, Renault Captur 0.9 TCE 90 Dynamique Nav 5dr     ,8000,2016,SUV,40833,0.9L,90BHP,Manual,Petrol,Renault
8539, Renault Captur 1.5 dCi 90 Dynamique Nav 5dr     ,8000,2016,SUV,38281,1.5L,90BHP,Manual,Diesel,Renault
8540, Renault Captur 1.2 TCE Dynamique MediaNav 5dr EDC     ,8000,2014,SUV,44471,1.2L,120BHP,Automatic,Petrol,Renault
8541, Ford Fiesta 1.0 EcoBoost Zetec 5dr     ,8000,2015,Hatchback,19212,1.0L,99BHP,Manual,Petrol,Ford
8542, Dacia Sandero Stepway 0.9 TCe Ambiance 5dr     ,8000,2017,Hatchback,10766,0.9L,90PS,Manual,Petrol,Dacia
8543, KIA Venga 1.4 ISG 2 5dr     ,8300,2017,MPV,24996,1.4L,90PS,Manual,Petrol,KIA
8544, Renault Clio 1.5 dCi 90 Dynamique Nav 5dr     ,8300,2017,Hatchback,30444,1.5L,90PS,Manual,Diesel,Renault
8545, Mazda2 1.5 SKYACTIV-G GT Sport (s/s) 5dr     ,11495,2017,Hatchback,16000,1.5L,115PS,Manual,Petrol,Mazda2
8546, Mazda2 1.5 SKYACTIV-G GT Sport Nav+ (s/s) 5dr     ,11695,2018,Hatchback,28194,1.5L,115PS,Manual,Petrol,Mazda2
8547, Mazda3 2.0 SKYACTIV-G SE Nav (s/s) 5dr     ,11795,2018,Hatchback,22500,2.0L,121PS,Manual,Petrol,Mazda3
8548, Mazda2 1.5 SKYACTIV-G GT Sport Nav+ (s/s) 5dr     ,12495,2018,Hatchback,5800,1.5L,115PS,Manual,Petrol,Mazda2
8549, Renault Kadjar 1.6 dCi Dynamique S Nav SUV 5dr Diesel (s/s) …     ,12495,2017,SUV,18500,1.6L,130PS,Manual,Diesel,Renault
8550, Mazda CX-5 2.2 TD Sport SUV 5dr Diesel Automatic AWD (144 …     ,12695,2013,SUV,43330,2.2L,173BHP,Automatic,Diesel,Mazda
8551, Mazda CX-5 2.0 Sport 2WD 5dr     ,13995,2014,SUV,20650,2.0L,163BHP,Manual,Petrol,Mazda
8552, Hyundai Santa Fe 2.2 CRDi Premium 4WD 5dr (5 seats)     ,14695,2015,SUV,39470,2.2L,194BHP,Manual,Diesel,Hyundai
8553, Mazda CX-3 2.0 SKYACTIV-G SE Nav+ (s/s) 5dr     ,14895,2019,SUV,5800,2.0L,121PS,Manual,Petrol,Mazda
8554, Mazda3 2.0 SKYACTIV-G Sport Black (s/s) 5dr     ,14995,2018,Hatchback,10800,2.0L,121PS,Manual,Petrol,Mazda3
8555, Volkswagen Polo 1.2 60 Match Edition 5dr     ,5450,2013,Hatchback,70210,1.2L,59BHP,Manual,Petrol,Volkswagen
8556, Vauxhall Corsa 5Dr HAT 1.4 90 Excite Ecoflex A/C     ,5750,2015,Hatchback,48750,1.4L,90PS,Manual,Petrol,Vauxhall
